id,userId,μSv/h,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
41589295,9,0.096,32,2014-12-09T21:30:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41589314,9,0.078,26,2014-12-09T21:35:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41589333,9,0.087,29,2014-12-09T21:40:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41589352,9,0.087,29,2014-12-09T21:45:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41589371,9,0.093,31,2014-12-09T21:50:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589390,9,0.090,30,2014-12-09T21:55:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589409,9,0.090,30,2014-12-09T22:00:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589428,9,0.081,27,2014-12-09T22:05:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589447,9,0.096,32,2014-12-09T22:10:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589464,9,0.096,32,2014-12-09T22:15:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589481,9,0.087,29,2014-12-09T22:20:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589498,9,0.078,26,2014-12-09T22:25:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589517,9,0.096,32,2014-12-09T22:30:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589536,9,0.090,30,2014-12-09T22:35:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589555,9,0.093,31,2014-12-09T22:40:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589574,9,0.084,28,2014-12-09T22:45:42Z,42.812292,-70.872505,99,Pancake,LND,73126
41589593,9,0.102,34,2014-12-09T22:50:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589612,9,0.081,27,2014-12-09T22:55:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589631,9,0.090,30,2014-12-09T23:00:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589651,9,0.078,26,2014-12-09T23:05:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589670,9,0.099,33,2014-12-09T23:10:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589687,9,0.090,30,2014-12-09T23:15:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589704,9,0.096,32,2014-12-09T23:20:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589723,9,0.099,33,2014-12-09T23:25:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589742,9,0.093,31,2014-12-09T23:30:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589761,9,0.090,30,2014-12-09T23:35:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589780,9,0.084,28,2014-12-09T23:40:41Z,42.812292,-70.872505,99,Pancake,LND,73126
41589799,9,0.078,26,2014-12-09T23:45:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589818,9,0.102,34,2014-12-09T23:50:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589835,9,0.072,24,2014-12-09T23:55:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589854,9,0.099,33,2014-12-10T00:00:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589873,9,0.099,33,2014-12-10T00:05:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589892,9,0.099,33,2014-12-10T00:10:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589910,9,0.093,31,2014-12-10T00:15:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589929,9,0.087,29,2014-12-10T00:20:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589946,9,0.099,33,2014-12-10T00:25:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589964,9,0.090,30,2014-12-10T00:30:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41589983,9,0.087,29,2014-12-10T00:35:40Z,42.812292,-70.872505,99,Pancake,LND,73126
41590002,9,0.090,30,2014-12-10T00:40:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590021,9,0.084,28,2014-12-10T00:45:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590040,9,0.075,25,2014-12-10T00:50:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590057,9,0.087,29,2014-12-10T00:55:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590074,9,0.099,33,2014-12-10T01:00:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590093,9,0.102,34,2014-12-10T01:05:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590112,9,0.087,29,2014-12-10T01:10:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590127,9,0.084,28,2014-12-10T01:15:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590143,9,0.096,32,2014-12-10T01:20:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590162,9,0.090,30,2014-12-10T01:25:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590181,9,0.090,30,2014-12-10T01:30:39Z,42.812292,-70.872505,99,Pancake,LND,73126
41590200,9,0.099,33,2014-12-10T01:35:38Z,42.812292,-70.872505,99,Pancake,LND,73126
41590219,9,0.090,30,2014-12-10T01:40:38Z,42.812292,-70.872505,99,Pancake,LND,73126
41590238,9,0.087,29,2014-12-10T01:45:38Z,42.812292,-70.872505,99,Pancake,LND,73126
41590257,9,0.075,25,2014-12-10T01:50:38Z,42.812292,-70.872505,99,Pancake,LND,73126
41590279,9,0.093,31,2014-12-10T02:10:47Z,42.812292,-70.872505,99,Pancake,LND,73126
41590298,9,0.090,30,2014-12-10T02:15:47Z,42.812292,-70.872505,99,Pancake,LND,73126
41590315,9,0.072,24,2014-12-10T02:20:47Z,42.812292,-70.872505,99,Pancake,LND,73126
41590334,9,0.102,34,2014-12-10T02:25:47Z,42.812292,-70.872505,99,Pancake,LND,73126
41590353,9,0.090,30,2014-12-10T02:30:47Z,42.812292,-70.872505,99,Pancake,LND,73126
41590370,9,0.099,33,2014-12-10T02:35:47Z,42.812292,-70.872505,99,Pancake,LND,73126
41590389,9,0.087,29,2014-12-10T02:40:47Z,42.812292,-70.872505,99,Pancake,LND,73126
41590408,9,0.102,34,2014-12-10T02:45:47Z,42.812292,-70.872505,99,Pancake,LND,73126
41590427,9,0.087,29,2014-12-10T02:50:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590442,9,0.105,35,2014-12-10T02:55:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590461,9,0.087,29,2014-12-10T03:00:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590480,9,0.102,34,2014-12-10T03:05:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590499,9,0.090,30,2014-12-10T03:10:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590518,9,0.087,29,2014-12-10T03:15:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590535,9,0.093,31,2014-12-10T03:20:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590552,9,0.105,35,2014-12-10T03:25:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590569,9,0.084,28,2014-12-10T03:30:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590588,9,0.090,30,2014-12-10T03:35:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590605,9,0.093,31,2014-12-10T03:40:46Z,42.812292,-70.872505,99,Pancake,LND,73126
41590622,9,0.090,30,2014-12-10T03:45:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590639,9,0.087,29,2014-12-10T03:50:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590658,9,0.090,30,2014-12-10T03:55:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590677,9,0.087,29,2014-12-10T04:00:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590696,9,0.090,30,2014-12-10T04:05:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590715,9,0.102,34,2014-12-10T04:10:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590733,9,0.084,28,2014-12-10T04:15:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590752,9,0.099,33,2014-12-10T04:20:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590771,9,0.084,28,2014-12-10T04:25:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590791,9,0.105,35,2014-12-10T04:30:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590810,9,0.108,36,2014-12-10T04:35:45Z,42.812292,-70.872505,99,Pancake,LND,73126
41590827,9,0.087,29,2014-12-10T04:40:44Z,42.812292,-70.872505,99,Pancake,LND,73126
41590846,9,0.096,32,2014-12-10T04:45:44Z,42.812292,-70.872505,99,Pancake,LND,73126
41590865,9,0.090,30,2014-12-10T04:50:44Z,42.812292,-70.872505,99,Pancake,LND,73126
41590884,9,0.102,34,2014-12-10T04:55:44Z,42.812292,-70.872505,99,Pancake,LND,73126
41590908,9,0.099,33,2014-12-10T05:10:44Z,42.812292,-70.872505,99,Pancake,LND,73126
41590925,9,0.096,32,2014-12-10T05:15:44Z,42.812292,-70.872505,99,Pancake,LND,73126
41590944,9,0.087,29,2014-12-10T05:20:44Z,42.812292,-70.872505,99,Pancake,LND,73126
41590963,9,0.090,30,2014-12-10T05:25:44Z,42.812292,-70.872505,99,Pancake,LND,73126
41590982,9,0.111,37,2014-12-10T05:30:44Z,42.812292,-70.872505,99,Pancake,LND,73126
41591000,9,0.096,32,2014-12-10T05:35:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41591019,9,0.102,34,2014-12-10T05:40:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41591038,9,0.099,33,2014-12-10T05:45:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41591057,9,0.093,31,2014-12-10T05:50:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41591076,9,0.093,31,2014-12-10T05:55:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41591229,9,0.093,31,2014-12-10T06:00:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41591251,9,0.087,29,2014-12-10T06:05:43Z,42.812292,-70.872505,99,Pancake,LND,73126
41591272,9,0.093,31,2014-12-10T06:10:43Z,42.812292,-70.872505,99,Pancake,LND,73126
