id,userId,μSv/h,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
42214253,9,0.117,39,2015-01-07T12:07:15Z,35.6617,139.7447,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285487,9,0.120,40,2015-01-14T07:34:20Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285512,9,0.117,39,2015-01-14T07:39:20Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285538,9,0.129,43,2015-01-14T07:44:20Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285563,9,0.105,35,2015-01-14T07:49:20Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285584,9,0.123,41,2015-01-14T07:54:20Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285609,9,0.120,40,2015-01-14T07:59:21Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285634,9,0.105,35,2015-01-14T08:04:21Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285659,9,0.117,39,2015-01-14T08:09:21Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285681,9,0.129,43,2015-01-14T08:14:21Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285706,9,0.108,36,2015-01-14T08:19:21Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285731,9,0.123,41,2015-01-14T08:24:22Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285755,9,0.120,40,2015-01-14T08:29:22Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285779,9,0.120,40,2015-01-14T08:34:22Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285802,9,0.105,35,2015-01-14T08:39:22Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285825,9,0.135,45,2015-01-14T08:44:22Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285849,9,0.132,44,2015-01-14T08:49:22Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285874,9,0.123,41,2015-01-14T08:54:23Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285899,9,0.123,41,2015-01-14T08:59:23Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285924,9,0.120,40,2015-01-14T09:04:23Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285948,9,0.114,38,2015-01-14T09:09:23Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285972,9,0.132,44,2015-01-14T09:14:23Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42285998,9,0.114,38,2015-01-14T09:19:24Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286023,9,0.144,48,2015-01-14T09:24:24Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286048,9,0.123,41,2015-01-14T09:29:24Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286073,9,0.123,41,2015-01-14T09:34:24Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286098,9,0.108,36,2015-01-14T09:39:24Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286122,9,0.126,42,2015-01-14T09:44:24Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286147,9,0.135,45,2015-01-14T09:49:25Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286172,9,0.114,38,2015-01-14T09:54:25Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286195,9,0.138,46,2015-01-14T09:59:25Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286220,9,0.114,38,2015-01-14T10:04:25Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286245,9,0.123,41,2015-01-14T10:09:25Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286266,9,0.141,47,2015-01-14T10:14:26Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286291,9,0.141,47,2015-01-14T10:19:26Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286316,9,0.123,41,2015-01-14T10:24:26Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286341,9,0.129,43,2015-01-14T10:29:26Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286366,9,0.123,41,2015-01-14T10:34:26Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286389,9,0.126,42,2015-01-14T10:39:26Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286412,9,0.114,38,2015-01-14T10:44:27Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286437,9,0.129,43,2015-01-14T10:49:27Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286462,9,0.132,44,2015-01-14T10:54:27Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286488,9,0.120,40,2015-01-14T10:59:27Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286513,9,0.120,40,2015-01-14T11:04:27Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286538,9,0.123,41,2015-01-14T11:09:28Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286563,9,0.132,44,2015-01-14T11:14:28Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42286588,9,0.120,40,2015-01-14T11:19:28Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42289295,9,0.129,43,2015-01-14T11:24:28Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42289320,9,0.117,39,2015-01-14T11:29:28Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42289345,9,0.108,36,2015-01-14T11:34:28Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
42289370,9,0.141,47,2015-01-14T11:39:29Z,37.4932,139.93305,101,LND7318,Safecast,"nGeigie 101 V2.1.5"
