id,userId,msv,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
37606417,9,0.126,42,2014-08-10T04:44:51Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37606432,9,0.141,47,2014-08-10T04:49:53Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37630659,9,0.000,0,2014-08-10T07:48:37Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37630995,9,0.000,0,2014-08-10T09:48:32Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631011,9,0.000,0,2014-08-10T09:53:31Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631027,9,0.000,0,2014-08-10T09:58:32Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631042,9,0.090,30,2014-08-10T10:03:32Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631058,9,0.159,53,2014-08-10T10:08:32Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631073,9,0.126,42,2014-08-10T10:13:32Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631089,9,0.147,49,2014-08-10T10:18:32Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631105,9,0.168,56,2014-08-10T10:23:33Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631121,9,0.147,49,2014-08-10T10:28:32Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631137,9,0.144,48,2014-08-10T10:33:32Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631153,9,0.144,48,2014-08-10T10:38:31Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631169,9,0.156,52,2014-08-10T10:43:32Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631213,9,0.135,45,2014-08-10T10:58:37Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631229,9,0.162,54,2014-08-10T11:03:35Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631245,9,0.159,53,2014-08-10T11:08:36Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631260,9,0.168,56,2014-08-10T11:13:37Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631275,9,0.156,52,2014-08-10T11:18:35Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631291,9,0.168,56,2014-08-10T11:23:36Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631307,9,0.156,52,2014-08-10T11:28:36Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631323,9,0.153,51,2014-08-10T11:33:37Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631339,9,0.135,45,2014-08-10T11:38:35Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631369,9,0.147,49,2014-08-10T11:48:45Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631383,9,0.144,48,2014-08-10T11:53:45Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631399,9,0.153,51,2014-08-10T11:58:47Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631415,9,0.150,50,2014-08-10T12:03:46Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631431,9,0.144,48,2014-08-10T12:08:47Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631446,9,0.153,51,2014-08-10T12:13:50Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631463,9,0.138,46,2014-08-10T12:18:49Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631479,9,0.150,50,2014-08-10T12:23:50Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631495,9,0.141,47,2014-08-10T12:28:49Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631511,9,0.153,51,2014-08-10T12:33:50Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631527,9,0.159,53,2014-08-10T12:38:50Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631542,9,0.156,52,2014-08-10T12:43:51Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631558,9,0.171,57,2014-08-10T12:48:51Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631574,9,0.144,48,2014-08-10T12:53:50Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631720,9,0.156,52,2014-08-10T13:45:14Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631736,9,0.150,50,2014-08-10T13:50:13Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631752,9,0.144,48,2014-08-10T13:55:13Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631768,9,0.153,51,2014-08-10T14:00:13Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631784,9,0.165,55,2014-08-10T14:05:13Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631800,9,0.147,49,2014-08-10T14:10:13Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631814,9,0.159,53,2014-08-10T14:15:14Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631830,9,0.153,51,2014-08-10T14:20:14Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631846,9,0.171,57,2014-08-10T14:25:15Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631861,9,0.084,28,2014-08-10T14:30:14Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37631877,9,0.000,0,2014-08-10T14:35:16Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957153,9,0.093,31,2014-08-15T20:19:49Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957196,9,0.093,31,2014-08-15T20:34:10Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957211,9,0.105,35,2014-08-15T20:39:10Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957225,9,0.099,33,2014-08-15T20:44:10Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957241,9,0.096,32,2014-08-15T20:49:09Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957256,9,0.111,37,2014-08-15T20:54:09Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957271,9,0.102,34,2014-08-15T20:59:09Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957286,9,0.105,35,2014-08-15T21:04:09Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957301,9,0.090,30,2014-08-15T21:09:09Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957315,9,0.093,31,2014-08-15T21:14:08Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957331,9,0.081,27,2014-08-15T21:19:08Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957346,9,0.096,32,2014-08-15T21:24:08Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957361,9,0.102,34,2014-08-15T21:29:08Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957376,9,0.117,39,2014-08-15T21:34:08Z,35.6617,139.7447,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957410,9,0.105,35,2014-08-15T21:46:44Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957426,9,0.117,39,2014-08-15T21:51:44Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957442,9,0.102,34,2014-08-15T21:56:44Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957458,9,0.096,32,2014-08-15T22:01:44Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957474,9,0.102,34,2014-08-15T22:06:44Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957490,9,0.096,32,2014-08-15T22:11:43Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37957505,9,0.105,35,2014-08-15T22:16:43Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37961285,9,0.087,29,2014-08-15T22:21:43Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37961301,9,0.105,35,2014-08-15T22:26:43Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37961317,9,0.102,34,2014-08-15T22:31:43Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37961333,9,0.096,32,2014-08-15T22:36:42Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37961349,9,0.096,32,2014-08-15T22:41:42Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37961365,9,0.099,33,2014-08-15T22:46:42Z,20.8757,-156.6807,78,LND7317,Safecast,"nGeigie 78 V2.1.5"
37961381,9,0.099,33,2014-08-15T22:51:42Z,20.8757,-156.6807,78,"LND78017 EC Gamma",Safecast,"nGeigie 78 V2.1.5"
37961398,9,0.096,32,2014-08-15T22:56:42Z,20.8757,-156.6807,78,"LND78017 EC Gamma",Safecast,"nGeigie 78 V2.1.5"
37961414,9,0.108,36,2014-08-15T23:01:42Z,20.8757,-156.6807,78,"LND78017 EC Gamma",Safecast,"nGeigie 78 V2.1.5"
