id,userId,μSv/h,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
41227499,9,0.017,2,2014-11-25T02:32:09Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41227501,9,0.000,0,2014-11-25T02:32:18Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41227519,9,0.017,2,2014-11-25T02:36:57Z,35.26905,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41227523,9,0.008,1,2014-11-25T02:37:08Z,35.26905,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229544,9,0.025,3,2014-11-25T11:01:21Z,35.26905,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229687,9,0.008,1,2014-11-25T11:41:48Z,35.26905,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229790,9,0.025,3,2014-11-25T12:10:46Z,35.26905,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229797,9,0.017,2,2014-11-25T12:13:02Z,35.26905,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229813,9,0.017,2,2014-11-25T12:17:05Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229815,9,0.000,0,2014-11-25T12:17:14Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229816,9,0.008,1,2014-11-25T12:17:24Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229817,9,0.008,1,2014-11-25T12:17:34Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229818,9,0.008,1,2014-11-25T12:17:44Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229820,9,0.000,0,2014-11-25T12:17:53Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229821,9,0.008,1,2014-11-25T12:18:03Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229823,9,0.000,0,2014-11-25T12:18:12Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229824,9,0.000,0,2014-11-25T12:18:22Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
41229825,9,0.000,0,2014-11-25T12:18:31Z,35.269,136.249621,95,LND712,Safecast,"nGeigie3G 94b V3.0.10_3G"
