id,userId,msv,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
37378914,6,3.485,420,2014-08-06T13:45:00Z,13.13,13.13,77,LND712,Safecast,NetRad
37378926,6,0.672,81,2014-08-06T13:49:53Z,13.13,13.13,77,LND712,Safecast,NetRad
37378938,6,0.249,30,2014-08-06T13:54:45Z,13.13,13.13,77,LND712,Safecast,NetRad
37378949,6,0.207,25,2014-08-06T13:59:38Z,13.13,13.13,77,LND712,Safecast,NetRad
37378961,6,0.241,29,2014-08-06T14:04:31Z,13.13,13.13,77,LND712,Safecast,NetRad
37378973,6,0.249,30,2014-08-06T14:09:23Z,13.13,13.13,77,LND712,Safecast,NetRad
37379095,6,0.274,33,2014-08-06T15:06:39Z,13.13,13.13,77,LND712,Safecast,NetRad
37393895,6,14.349,1729,2014-08-06T15:11:32Z,13.13,13.13,77,LND712,Safecast,NetRad
37420277,6,11.643,1403,2014-08-06T15:16:24Z,13.13,13.13,77,LND712,Safecast,NetRad
37466651,6,0.257,31,2014-08-06T15:21:17Z,13.13,13.13,77,LND712,Safecast,NetRad
37486491,6,0.232,28,2014-08-06T15:26:09Z,13.13,13.13,77,LND712,Safecast,NetRad
37486503,6,0.224,27,2014-08-06T15:31:01Z,13.13,13.13,77,LND712,Safecast,NetRad
37486514,6,0.241,29,2014-08-06T15:35:54Z,13.13,13.13,77,LND712,Safecast,NetRad
37486526,6,0.224,27,2014-08-06T15:40:46Z,13.13,13.13,77,LND712,Safecast,NetRad
37486538,6,0.241,29,2014-08-06T15:45:39Z,13.13,13.13,77,LND712,Safecast,NetRad
37486550,6,0.241,29,2014-08-06T15:50:31Z,13.13,13.13,77,LND712,Safecast,NetRad
37486562,6,0.232,28,2014-08-06T15:55:23Z,13.13,13.13,77,LND712,Safecast,NetRad
37486573,6,0.241,29,2014-08-06T16:00:16Z,13.13,13.13,77,LND712,Safecast,NetRad
37486585,6,0.241,29,2014-08-06T16:05:08Z,13.13,13.13,77,LND712,Safecast,NetRad
37486597,6,0.274,33,2014-08-06T16:10:01Z,13.13,13.13,77,LND712,Safecast,NetRad
37486609,6,0.266,32,2014-08-06T16:14:53Z,13.13,13.13,77,LND712,Safecast,NetRad
37486621,6,0.249,30,2014-08-06T16:19:46Z,13.13,13.13,77,LND712,Safecast,NetRad
37486632,6,0.216,26,2014-08-06T16:24:38Z,13.13,13.13,77,LND712,Safecast,NetRad
37486644,6,0.249,30,2014-08-06T16:29:30Z,13.13,13.13,77,LND712,Safecast,NetRad
37486656,6,0.249,30,2014-08-06T16:34:23Z,13.13,13.13,77,LND712,Safecast,NetRad
37486668,6,0.241,29,2014-08-06T16:39:16Z,13.13,13.13,77,LND712,Safecast,NetRad
37486679,6,0.224,27,2014-08-06T16:44:08Z,13.13,13.13,77,LND712,Safecast,NetRad
37486690,6,0.241,29,2014-08-06T16:49:01Z,13.13,13.13,77,LND712,Safecast,NetRad
37486702,6,0.249,30,2014-08-06T16:53:54Z,13.13,13.13,77,LND712,Safecast,NetRad
