id,userId,msv,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
38529946,9,0.111,37,2014-09-02T11:05:53Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38529964,9,0.111,37,2014-09-02T11:10:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38529979,9,0.120,40,2014-09-02T11:15:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38529996,9,0.099,33,2014-09-02T11:20:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530013,9,0.123,41,2014-09-02T11:25:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530030,9,0.105,35,2014-09-02T11:30:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530047,9,0.123,41,2014-09-02T11:35:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530064,9,0.108,36,2014-09-02T11:40:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530081,9,0.099,33,2014-09-02T11:45:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530098,9,0.114,38,2014-09-02T11:50:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530115,9,0.111,37,2014-09-02T11:55:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530132,9,0.099,33,2014-09-02T12:00:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530149,9,0.105,35,2014-09-02T12:05:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530166,9,0.117,39,2014-09-02T12:10:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530181,9,0.126,42,2014-09-02T12:15:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530198,9,0.114,38,2014-09-02T12:20:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530215,9,0.114,38,2014-09-02T12:25:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530232,9,0.108,36,2014-09-02T12:30:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530249,9,0.120,40,2014-09-02T12:35:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38530266,9,0.096,32,2014-09-02T12:40:54Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919612,9,0.111,37,2014-09-13T08:53:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919631,9,0.105,35,2014-09-13T08:58:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919650,9,0.099,33,2014-09-13T09:03:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919669,9,0.102,34,2014-09-13T09:08:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919687,9,0.105,35,2014-09-13T09:13:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919706,9,0.105,35,2014-09-13T09:18:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919725,9,0.111,37,2014-09-13T09:23:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919744,9,0.099,33,2014-09-13T09:28:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919764,9,0.108,36,2014-09-13T09:33:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919783,9,0.102,34,2014-09-13T09:38:45Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919821,9,0.111,37,2014-09-13T09:49:13Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919840,9,0.105,35,2014-09-13T09:54:13Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919859,9,0.111,37,2014-09-13T09:59:13Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919878,9,0.099,33,2014-09-13T10:04:13Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919897,9,0.111,37,2014-09-13T10:09:14Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919914,9,0.114,38,2014-09-13T10:14:14Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919943,9,0.105,35,2014-09-13T10:22:19Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919962,9,0.108,36,2014-09-13T10:27:19Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38919982,9,0.120,40,2014-09-13T10:32:20Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920001,9,0.099,33,2014-09-13T10:37:30Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920021,9,0.111,37,2014-09-13T10:42:41Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920040,9,0.114,38,2014-09-13T10:47:41Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920059,9,0.102,34,2014-09-13T10:52:41Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920078,9,0.108,36,2014-09-13T10:57:41Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920097,9,0.108,36,2014-09-13T11:02:42Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920116,9,0.123,41,2014-09-13T11:07:42Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920134,9,0.114,38,2014-09-13T11:12:42Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920150,9,0.105,35,2014-09-13T11:17:42Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920169,9,0.114,38,2014-09-13T11:22:42Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
38920188,9,0.123,41,2014-09-13T11:27:42Z,37.217297,140.997633,75,LND7317,Safecast,"nGeigie 75 V2.1.5"
