id,userId,μSv/h,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
39849620,9,0.129,43,2014-10-16T02:20:19Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849637,9,0.132,44,2014-10-16T02:25:18Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849654,9,0.138,46,2014-10-16T02:30:17Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849671,9,0.129,43,2014-10-16T02:35:17Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849688,9,0.129,43,2014-10-16T02:40:16Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849705,9,0.138,46,2014-10-16T02:45:15Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849732,9,0.111,37,2014-10-16T02:52:23Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849748,9,0.147,49,2014-10-16T02:57:22Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849765,9,0.135,45,2014-10-16T03:02:21Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849781,9,0.144,48,2014-10-16T03:07:20Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849798,9,0.123,41,2014-10-16T03:12:19Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849813,9,0.147,49,2014-10-16T03:17:18Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849830,9,0.132,44,2014-10-16T03:22:16Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849845,9,0.144,48,2014-10-16T03:27:15Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849862,9,0.144,48,2014-10-16T03:32:14Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849879,9,0.141,47,2014-10-16T03:37:13Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849896,9,0.156,52,2014-10-16T03:42:12Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849921,9,0.099,33,2014-10-16T03:49:49Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849937,9,0.150,50,2014-10-16T03:54:49Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849954,9,0.141,47,2014-10-16T03:59:48Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849963,9,0.144,48,2014-10-16T04:04:47Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849979,9,0.120,40,2014-10-16T04:09:46Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39849994,9,0.150,50,2014-10-16T04:14:44Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39850011,9,0.135,45,2014-10-16T04:19:43Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39850027,9,0.126,42,2014-10-16T04:24:42Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39850043,9,0.159,53,2014-10-16T04:29:41Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39850060,9,0.138,46,2014-10-16T04:34:40Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39850077,9,0.144,48,2014-10-16T04:39:39Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39850093,9,0.144,48,2014-10-16T04:44:38Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39850110,9,0.129,43,2014-10-16T04:49:36Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39850127,9,0.147,49,2014-10-16T04:54:36Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39850144,9,0.126,42,2014-10-16T04:59:36Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39851854,9,0.135,45,2014-10-16T05:04:34Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39851871,9,0.156,52,2014-10-16T05:09:33Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39851885,9,0.135,45,2014-10-16T05:14:32Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39851901,9,0.141,47,2014-10-16T05:19:31Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39851918,9,0.147,49,2014-10-16T05:24:30Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39851934,9,0.144,48,2014-10-16T05:29:29Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39851951,9,0.150,50,2014-10-16T05:34:28Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39851968,9,0.150,50,2014-10-16T05:39:27Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39851985,9,0.141,47,2014-10-16T05:44:26Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852000,9,0.123,41,2014-10-16T05:49:24Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852017,9,0.150,50,2014-10-16T05:54:24Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852033,9,0.141,47,2014-10-16T05:59:23Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852049,9,0.138,46,2014-10-16T06:04:21Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852066,9,0.126,42,2014-10-16T06:09:20Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852081,9,0.150,50,2014-10-16T06:14:20Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852097,9,0.153,51,2014-10-16T06:19:19Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852113,9,0.135,45,2014-10-16T06:24:17Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852129,9,0.126,42,2014-10-16T06:29:16Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852146,9,0.129,43,2014-10-16T06:34:15Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852163,9,0.132,44,2014-10-16T06:39:14Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
39852180,9,0.153,51,2014-10-16T06:44:13Z,35.6617,139.7447,90,LND7318,Safecast,"nGeigie3G V2.3.8"
