id,userId,msv,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
37671243,9,0.075,25,2014-08-12T11:49:53Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671263,9,0.102,34,2014-08-12T11:55:25Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671282,9,0.117,39,2014-08-12T12:00:23Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671301,9,0.099,33,2014-08-12T12:05:22Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671320,9,0.105,35,2014-08-12T12:10:21Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671338,9,0.108,36,2014-08-12T12:15:21Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671357,9,0.099,33,2014-08-12T12:20:20Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671480,9,0.075,25,2014-08-12T12:53:14Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671499,9,0.120,40,2014-08-12T12:58:13Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671518,9,0.108,36,2014-08-12T13:03:12Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671537,9,0.114,38,2014-08-12T13:08:12Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671556,9,0.120,40,2014-08-12T13:13:11Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671574,9,0.135,45,2014-08-12T13:18:26Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671592,9,0.105,35,2014-08-12T13:23:25Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671611,9,0.120,40,2014-08-12T13:28:25Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671630,9,0.105,35,2014-08-12T13:33:24Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671649,9,0.114,38,2014-08-12T13:38:23Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671668,9,0.114,38,2014-08-12T13:43:22Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671687,9,0.102,34,2014-08-12T13:48:21Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671705,9,0.102,34,2014-08-12T13:53:22Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671719,9,0.117,39,2014-08-12T13:58:21Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671733,9,0.102,34,2014-08-12T14:03:20Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671746,9,0.099,33,2014-08-12T14:08:19Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671772,9,0.120,40,2014-08-12T14:18:17Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671786,9,0.111,37,2014-08-12T14:23:16Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671800,9,0.102,34,2014-08-12T14:28:15Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671814,9,0.105,35,2014-08-12T14:33:14Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671828,9,0.096,32,2014-08-12T14:38:13Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671842,9,0.114,38,2014-08-12T14:43:12Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671856,9,0.102,34,2014-08-12T14:48:11Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671870,9,0.111,37,2014-08-12T14:53:10Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671884,9,0.105,35,2014-08-12T14:58:11Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671898,9,0.120,40,2014-08-12T15:03:10Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671912,9,0.114,38,2014-08-12T15:08:09Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671925,9,0.123,41,2014-08-12T15:13:08Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671938,9,0.114,38,2014-08-12T15:18:20Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671952,9,0.114,38,2014-08-12T15:23:19Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671966,9,0.096,32,2014-08-12T15:28:18Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671980,9,0.090,30,2014-08-12T15:33:17Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37671995,9,0.108,36,2014-08-12T15:38:16Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672009,9,0.105,35,2014-08-12T15:43:15Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672022,9,0.108,36,2014-08-12T15:48:14Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672036,9,0.111,37,2014-08-12T15:53:13Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672050,9,0.108,36,2014-08-12T15:58:12Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672064,9,0.111,37,2014-08-12T16:03:11Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672078,9,0.108,36,2014-08-12T16:08:10Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672091,9,0.114,38,2014-08-12T16:13:09Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672104,9,0.132,44,2014-08-12T16:18:26Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672117,9,0.117,39,2014-08-12T16:23:25Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672130,9,0.132,44,2014-08-12T16:28:24Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672143,9,0.117,39,2014-08-12T16:33:23Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672156,9,0.114,38,2014-08-12T16:38:23Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672169,9,0.126,42,2014-08-12T16:43:22Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672182,9,0.111,37,2014-08-12T16:48:22Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672195,9,0.120,40,2014-08-12T16:53:21Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672207,9,0.126,42,2014-08-12T16:58:20Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672220,9,0.123,41,2014-08-12T17:03:19Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672233,9,0.129,43,2014-08-12T17:08:18Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
37672257,9,0.114,38,2014-08-12T17:18:16Z,35.6617,139.7447,74,LND7317,Safecast,"nGeigie3G  74  V2.3.0"
