id,userId,μSv/h,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
42590388,9,0.099,33,2015-01-22T03:48:52Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590410,9,0.114,38,2015-01-22T03:53:52Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590432,9,0.090,30,2015-01-22T03:58:52Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590453,9,0.096,32,2015-01-22T04:03:52Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590475,9,0.096,32,2015-01-22T04:08:51Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590497,9,0.093,31,2015-01-22T04:13:51Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590519,9,0.111,37,2015-01-22T04:18:51Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590540,9,0.102,34,2015-01-22T04:23:51Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590561,9,0.108,36,2015-01-22T04:28:51Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590583,9,0.084,28,2015-01-22T04:33:51Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590605,9,0.096,32,2015-01-22T04:38:51Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590627,9,0.081,27,2015-01-22T04:43:51Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590649,9,0.102,34,2015-01-22T04:48:50Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590670,9,0.108,36,2015-01-22T04:53:50Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590692,9,0.102,34,2015-01-22T04:58:50Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590724,9,0.099,33,2015-01-22T05:08:50Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590746,9,0.108,36,2015-01-22T05:13:50Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590770,9,0.114,38,2015-01-22T05:18:50Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590794,9,0.114,38,2015-01-22T05:23:50Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590818,9,0.096,32,2015-01-22T05:28:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590840,9,0.111,37,2015-01-22T05:33:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590862,9,0.099,33,2015-01-22T05:38:51Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590883,9,0.108,36,2015-01-22T05:43:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590905,9,0.096,32,2015-01-22T05:48:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590930,9,0.114,38,2015-01-22T05:53:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42590952,9,0.111,37,2015-01-22T05:58:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591106,9,0.111,37,2015-01-22T06:03:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591128,9,0.090,30,2015-01-22T06:08:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591150,9,0.102,34,2015-01-22T06:13:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591174,9,0.093,31,2015-01-22T06:18:49Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591196,9,0.081,27,2015-01-22T06:23:48Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591220,9,0.105,35,2015-01-22T06:28:48Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591242,9,0.096,32,2015-01-22T06:33:48Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591264,9,0.108,36,2015-01-22T06:38:48Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591286,9,0.108,36,2015-01-22T06:43:48Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591308,9,0.096,32,2015-01-22T06:48:48Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591330,9,0.090,30,2015-01-22T06:53:48Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591352,9,0.087,29,2015-01-22T06:58:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591374,9,0.093,31,2015-01-22T07:03:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591396,9,0.093,31,2015-01-22T07:08:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591418,9,0.099,33,2015-01-22T07:13:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591441,9,0.105,35,2015-01-22T07:18:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591463,9,0.096,32,2015-01-22T07:23:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591485,9,0.099,33,2015-01-22T07:28:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591507,9,0.105,35,2015-01-22T07:33:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591530,9,0.111,37,2015-01-22T07:38:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591553,9,0.096,32,2015-01-22T07:43:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591575,9,0.096,32,2015-01-22T07:48:47Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591596,9,0.105,35,2015-01-22T07:53:46Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591619,9,0.099,33,2015-01-22T07:58:46Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591643,9,0.099,33,2015-01-22T08:03:46Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591667,9,0.108,36,2015-01-22T08:08:46Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591689,9,0.087,29,2015-01-22T08:13:46Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591711,9,0.111,37,2015-01-22T08:18:46Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591736,9,0.096,32,2015-01-22T08:23:46Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591760,9,0.102,34,2015-01-22T08:28:45Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591783,9,0.096,32,2015-01-22T08:33:45Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591807,9,0.096,32,2015-01-22T08:38:45Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591830,9,0.096,32,2015-01-22T08:43:45Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591854,9,0.087,29,2015-01-22T08:48:45Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
42591878,9,0.099,33,2015-01-22T08:53:45Z,35.745923,139.918063,100,LND7318,Safecast,"nGeigie 100 V2.1.5"
