id,userId,msv,cpm,capturedAt,latitude,longitude,device,type,manufacturer,model
38529875,9,0.081,27,2014-09-02T10:42:44Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38529890,9,0.105,35,2014-09-02T10:47:43Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38529922,9,0.123,41,2014-09-02T10:58:12Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38529938,9,0.111,37,2014-09-02T11:03:13Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38529955,9,0.105,35,2014-09-02T11:08:12Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38529987,9,0.108,36,2014-09-02T11:18:11Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530004,9,0.114,38,2014-09-02T11:23:10Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530021,9,0.108,36,2014-09-02T11:28:09Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530038,9,0.114,38,2014-09-02T11:33:09Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530055,9,0.114,38,2014-09-02T11:38:08Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530071,9,0.117,39,2014-09-02T11:43:07Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530088,9,0.114,38,2014-09-02T11:48:06Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530105,9,0.108,36,2014-09-02T11:53:05Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530122,9,0.114,38,2014-09-02T11:58:05Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530139,9,0.105,35,2014-09-02T12:03:05Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530156,9,0.102,34,2014-09-02T12:08:04Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530173,9,0.117,39,2014-09-02T12:13:03Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530189,9,0.114,38,2014-09-02T12:18:28Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530206,9,0.099,33,2014-09-02T12:23:27Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530223,9,0.105,35,2014-09-02T12:28:26Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530242,9,0.105,35,2014-09-02T12:33:55Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530259,9,0.114,38,2014-09-02T12:38:53Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38530276,9,0.105,35,2014-09-02T12:43:53Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545442,9,0.189,63,2014-09-04T02:46:54Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545531,9,0.192,64,2014-09-04T03:15:25Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545548,9,0.290,97,2014-09-04T03:20:24Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545565,9,0.311,104,2014-09-04T03:25:24Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545582,9,0.308,103,2014-09-04T03:30:22Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545599,9,0.323,108,2014-09-04T03:35:21Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545616,9,0.311,104,2014-09-04T03:40:20Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545633,9,0.314,105,2014-09-04T03:45:20Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545650,9,0.308,103,2014-09-04T03:50:19Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545667,9,0.275,92,2014-09-04T03:55:18Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545701,9,0.201,67,2014-09-04T04:07:25Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545718,9,0.311,104,2014-09-04T04:12:23Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545735,9,0.296,99,2014-09-04T04:17:22Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545752,9,0.293,98,2014-09-04T04:22:21Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545769,9,0.314,105,2014-09-04T04:27:20Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545786,9,0.281,94,2014-09-04T04:32:19Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545803,9,0.317,106,2014-09-04T04:37:19Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545820,9,0.335,112,2014-09-04T04:42:19Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545837,9,0.284,95,2014-09-04T04:47:19Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545854,9,0.323,108,2014-09-04T04:52:17Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38545871,9,0.311,104,2014-09-04T04:57:16Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38547118,9,0.314,105,2014-09-04T05:02:15Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548578,9,0.305,102,2014-09-04T05:07:14Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548595,9,0.299,100,2014-09-04T05:12:13Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548612,9,0.308,103,2014-09-04T05:17:12Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548629,9,0.293,98,2014-09-04T05:22:11Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548645,9,0.317,106,2014-09-04T05:27:10Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548662,9,0.287,96,2014-09-04T05:32:08Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548679,9,0.293,98,2014-09-04T05:37:07Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548696,9,0.311,104,2014-09-04T05:42:06Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548713,9,0.287,96,2014-09-04T05:47:05Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548730,9,0.326,109,2014-09-04T05:52:04Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548747,9,0.299,100,2014-09-04T05:57:03Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548764,9,0.329,110,2014-09-04T06:02:02Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
38548781,9,0.326,109,2014-09-04T06:07:01Z,37.290067,141.001544,88,LND7318,Safecast,"nGeigie 88 3G "
